planet_name,num_planets,period,axis,density,distance,mass_e,radius_e,star_temp,star_mass,star_radius,star_type_num,star_type,disc_method,link
WASP-13 b,1,4.353011,0.05362,0.222,155,151.599,15.569,5826,1.09,1.56,,,Transit,http://exoplanet.eu/catalog/wasp-13_b/
Kepler-23 b,3,7.1073,0.075,,800,254.3,1.9,5828,1.11,1.55,,,Transit,http://exoplanet.eu/catalog/kepler-23_b/
Kepler-23 c,3,10.7421,0.099,,800,858.1,3.2,5828,1.11,1.55,,,Transit,http://exoplanet.eu/catalog/kepler-23_c/
Kepler-23 d,3,15.274299,0.124,,800,,2.2,5828,1.11,1.55,,,Transit,http://exoplanet.eu/catalog/kepler-23_d/
Kepler-334 b,3,5.470319,0.061,,,,1.12,5828,1,1.07,,,Transit,http://exoplanet.eu/catalog/kepler-334_b/
Kepler-334 c,3,12.758005,0.107,,,,1.43,5828,1,1.07,,,Transit,http://exoplanet.eu/catalog/kepler-334_c/
Kepler-334 d,3,25.09849,0.168,,,,1.41,5828,1,1.07,,,Transit,http://exoplanet.eu/catalog/kepler-334_d/
HD 13931 b,1,4218,5.15,,45.52,,,5829,1.02,1.23,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_13931_b/
Kepler-223 b,4,7.384108,0.073,,,,1.69,5829,,1.02,,,Transit,http://exoplanet.eu/catalog/kepler-223_b/
Kepler-223 c,4,9.848183,0.088,,,,2,5829,,1.02,,,Transit,http://exoplanet.eu/catalog/kepler-223_c/
Kepler-223 d,4,14.788759,0.116,,,,2.98,5829,,1.02,,,Transit,http://exoplanet.eu/catalog/kepler-223_d/
Kepler-223 e,4,19.721734,0.14,,,,2.4,5829,,1.02,,,Transit,http://exoplanet.eu/catalog/kepler-223_e/
HD 187123 b,2,3.0965828,0.0426,,47.92,,,5830,1,,4.3,G3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_187123_b/
HD 187123 c,2,3810,4.89,,47.92,,,5830,1,,4.3,G3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_187123_c/
Kepler-265 b,4,6.846262,0.069,,,,1.86,5835,1.03,1.1,,,Transit,http://exoplanet.eu/catalog/kepler-265_b/
Kepler-265 c,4,17.028937,0.127,,,,2.63,5835,1.03,1.1,,,Transit,http://exoplanet.eu/catalog/kepler-265_c/
Kepler-265 d,4,43.130617,0.236,,,,2.49,5835,1.03,1.1,,,Transit,http://exoplanet.eu/catalog/kepler-265_d/
Kepler-265 e,4,67.831024,0.319,,,,2.59,5835,1.03,1.1,,,Transit,http://exoplanet.eu/catalog/kepler-265_e/
HD 34445 b,1,1049,2.07,,45.01,,,5836,1.07,1.38,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_34445_b/
Kepler-262 b,2,13.060855,0.108,,,,1.36,5841,,0.88,,,Transit,http://exoplanet.eu/catalog/kepler-262_b/
Kepler-262 c,2,21.853722,0.152,,,,1.64,5841,,0.88,,,Transit,http://exoplanet.eu/catalog/kepler-262_c/
